case_id,priority,resolver_class,source,source_id,source_name,canonical_id,canonical_name,distance_m,source_address,canonical_address,same_phone,same_website,exact_external_id,historical_link,evidence_label,evidence_confidence,reason_codes,reviewer_decision,approved_operation,reviewer_note
MATCH:overture:overture:3bbe6090-ec19-43a8-b922-dd192e62b47c,P0,HIGH_CONFIDENCE_MATCH,overture,overture:3bbe6090-ec19-43a8-b922-dd192e62b47c,Làng Hải Sản,google_maps_1145,Nhà Hàng LÀNG HẢI SẢN,31.79,"817 Đường Nguyễn Tất Thành, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:41b104e5-8e0d-4525-83ec-778f3490aa69,P0,HIGH_CONFIDENCE_MATCH,overture,overture:41b104e5-8e0d-4525-83ec-778f3490aa69,NhÀ HÀNg ĐẢO Xanh,google_maps_2055,NHÀ HÀNG ĐẢO XANH,20.84,"124 Đường Nguyễn Văn Linh, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location,DEFER,,
MATCH:overture:overture:4b42243a-e10d-4898-8bd1-74b355694a2b,P1,PROBABLE_MATCH,overture,overture:4b42243a-e10d-4898-8bd1-74b355694a2b,Thìa Gỗ Restaurant Da Nang,google_maps_5247,Thìa Gỗ Đà Nẵng,20.26,"53 Phan Thúc Duyện, Da Nang, Đà Nẵng, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:4c64f8eb-66d1-4301-9acc-4137f0f8693d,P0,HIGH_CONFIDENCE_MATCH,overture,overture:4c64f8eb-66d1-4301-9acc-4137f0f8693d,Trà sữa hoa ly,google_maps_1216,Trà sữa hoa ly,15.27,"832 Đường Trần Cao Vân, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:52b9bf26-57ae-44f5-99cb-8fc087647c91,P1,PROBABLE_MATCH,overture,overture:52b9bf26-57ae-44f5-99cb-8fc087647c91,Bò Né 3 Ngon,google_maps_2869,Bò Né 3 Ngon,85.81,"195 Đường Châu Thị Vĩnh Tế, Quận Ngũ Hành Sơn, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:5cca3fec-c3dd-47fd-b7d2-b3a15a909623,P0,HIGH_CONFIDENCE_MATCH,overture,overture:5cca3fec-c3dd-47fd-b7d2-b3a15a909623,My Coffee,google_maps_5415,My Coffee,18.06,"305 Đ. Lê Văn Hiến, Quận Ngũ Hành Sơn, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:60fd4dbe-54ee-480f-a2cd-3c91ebede166,P0,HIGH_CONFIDENCE_MATCH,overture,overture:60fd4dbe-54ee-480f-a2cd-3c91ebede166,Bếp nhà Nhiên,google_maps_888,Bếp nhà Nhiên,16.57,"K64 Ngô Chân Lưu, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:62d9fa47-6d23-4f62-bc46-31a8ec55c645,P0,HIGH_CONFIDENCE_MATCH,overture,overture:62d9fa47-6d23-4f62-bc46-31a8ec55c645,Đồng Tiến Bakery,google_maps_951,Đồng Tiến Bakery,21.16,"330 Đường Hà Huy Tập, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:66c671fa-ca5b-402b-89ff-0095e50ab916,P1,PROBABLE_MATCH,overture,overture:66c671fa-ca5b-402b-89ff-0095e50ab916,Túc Tắc Tea Đà Nẵng,google_maps_2464,Túc Tắc Tea Đà Nẵng - Hải Phòng,14.1,"6 Đường Hải Phòng, Quận Hải Châu, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:6847549e-31c8-4828-89b8-0826cef1786e,P1,PROBABLE_MATCH,overture,overture:6847549e-31c8-4828-89b8-0826cef1786e,Muối Biển Seafood Restaurant - Nhà hàng hải sản Đà Nẵng,google_maps_2492,Muối Biển Seafood Restaurant - Nhà hàng hải sản Đà Nẵng,68.01,"51 Đường Võ Nguyên Giáp, Quận Ngũ Hành Sơn, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:6a921f19-8a50-4cc2-ae71-75107588828a,P0,HIGH_CONFIDENCE_MATCH,overture,overture:6a921f19-8a50-4cc2-ae71-75107588828a,Quán Cafe King,google_maps_689,Quán Cafe King,25.47,"39 Ngô Xuân Thu, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:7219119b-0478-43a5-ab4d-2b451cf99f34,P1,PROBABLE_MATCH,overture,overture:7219119b-0478-43a5-ab4d-2b451cf99f34,Gỏi Cá Thanh Hương- Đặc sản Nam Ô,google_maps_622,Gỏi Cá Thanh Hương - Nam Ô,3.59,"1029 Đường Nguyễn Lương Bằng, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:7861351d-4f0f-491c-9b8a-9985dedbf02b,P0,HIGH_CONFIDENCE_MATCH,overture,overture:7861351d-4f0f-491c-9b8a-9985dedbf02b,Quán Hoa Bánh Canh Vịt,google_maps_512,Quán Hoa - Bánh Canh Vịt,12,"56 Đường Phạm Như Xương, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:78f119f1-1ae5-4f54-bbf2-e191a268ba17,P1,PROBABLE_MATCH,overture,overture:78f119f1-1ae5-4f54-bbf2-e191a268ba17,Nhà Hàng Cafe Vip Vườn,google_maps_2486,Cafe VIP Vườn,113.72,"34 Nguyễn Hữu Thọ, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:7d224842-8bbc-49b7-bcd2-895b44587775,P1,PROBABLE_MATCH,overture,overture:7d224842-8bbc-49b7-bcd2-895b44587775,La Maison 1888,google_maps_2221,La Maison 1888,135.33,"InterContinental Danang Sun Peninsula Resort, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:84b736b1-3612-4adf-9942-2b60d55b9b2d,P0,HIGH_CONFIDENCE_MATCH,overture,overture:84b736b1-3612-4adf-9942-2b60d55b9b2d,Rustic Tea & Coffee,google_maps_332,Rustic Tea & Coffee,9.52,"703 Đường Âu Cơ, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:85ac7a27-2f81-4f62-9330-168e84aede22,P0,HIGH_CONFIDENCE_MATCH,overture,overture:85ac7a27-2f81-4f62-9330-168e84aede22,Cơm nhà Kiều Thị - 66 Ngô Văn Sở,google_maps_490,Cơm nhà Kiều Thị - 66 Ngô Văn Sở,26.77,"66 Đường Ngô Văn Sở, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:87683a49-1a13-405d-b5eb-84dc82e67775,P1,PROBABLE_MATCH,overture,overture:87683a49-1a13-405d-b5eb-84dc82e67775,ĐÀ ThÀNh QuÁN,google_maps_2055,NHÀ HÀNG ĐẢO XANH,26.68,"122 Đường Nguyễn Văn Thoại, Quận Sơn Trà, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:8d25a98d-17d9-48b2-91b6-2fee80d38203,P1,PROBABLE_MATCH,overture,overture:8d25a98d-17d9-48b2-91b6-2fee80d38203,Vềnhà.café,google_maps_2875,"""về nhà"" café",76.35,"86 Hồ Hán Thương, Quận Sơn Trà, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:90fa89d8-c389-489c-9ff6-91b8964b461c,P0,HIGH_CONFIDENCE_MATCH,overture,overture:90fa89d8-c389-489c-9ff6-91b8964b461c,Lữ Cafe and Bar,google_maps_2245,Lữ Cafe & Bar,5.87,"30 Đường Suối Đá 3, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:91d99545-d195-4590-ba1a-b7b7808e6e8b,P0,HIGH_CONFIDENCE_MATCH,overture,overture:91d99545-d195-4590-ba1a-b7b7808e6e8b,Tiệm Ăn Phúc Ký,google_maps_1719,Tiệm Ăn Phúc Ký,4.57,"81 Đường Hùng Vương, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:9c0ec2ea-fc55-4d8c-ac0d-f863a66cdf42,P0,HIGH_CONFIDENCE_MATCH,overture,overture:9c0ec2ea-fc55-4d8c-ac0d-f863a66cdf42,BonPas Bakery & Cafe,google_maps_2088,BonPas Bakery & Cafe,2.81,"4 Đường Xô Viết Nghệ Tĩnh, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:9f42591b-5c24-454a-84c4-554ce28b240b,P0,HIGH_CONFIDENCE_MATCH,overture,overture:9f42591b-5c24-454a-84c4-554ce28b240b,Bún Mắm 66,google_maps_1364,Bún Mắm 66,12.08,"66 Đường Nguyễn Chánh, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:a4a978ad-6080-4d48-baad-c7acf40df75b,P1,PROBABLE_MATCH,overture,overture:a4a978ad-6080-4d48-baad-c7acf40df75b,Tiệm cafe Ông Ngoại,google_maps_539,Tiệm cafe Ông Ngoại,56.54,"66 Đường Phạm Như Xương, Quận Liên Chiểu, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:a4ebc563-8eb9-48ca-b2bd-8b2508318c4e,P0,HIGH_CONFIDENCE_MATCH,overture,overture:a4ebc563-8eb9-48ca-b2bd-8b2508318c4e,Roost Roasters,google_maps_2716,Roost Coffee Roasters | Da Nang,6.2,"57 Bà Huyện Thanh Quan, Quận Ngũ Hành Sơn, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:a6a281f8-2c8c-486f-9e73-f82b80ce2461,P0,HIGH_CONFIDENCE_MATCH,overture,overture:a6a281f8-2c8c-486f-9e73-f82b80ce2461,Góc Hà Nội quán,google_maps_2780,Góc Hà Nội quán,4.57,"80 Đường Dương Tự Minh, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:a6f73975-9a92-4e06-9a5a-2de02bd1d78e,P1,PROBABLE_MATCH,overture,overture:a6f73975-9a92-4e06-9a5a-2de02bd1d78e,Ý Liên Coffee,google_maps_1329,Cafe Ý Liên,69.21,"Số 20 Đường Bùi Tấn Diên, P. Hòa Minh, Q.Liên Chiểu, TP.Đà Nẵng, Da Nang, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:b4e86f4e-fd7b-47d0-b432-9b4458ec5d85,P1,PROBABLE_MATCH,overture,overture:b4e86f4e-fd7b-47d0-b432-9b4458ec5d85,Cafe Street 102,google_maps_465,Cafe Street 102,194.44,"Hoàng Trung Thông, Quận Liên Chiểu, VN",,true,false,false,true,UNCERTAIN,WEAK,insufficient_independent_evidence,DEFER,,
MATCH:overture:overture:b60877ae-a80e-42fc-b72b-83bb085c132b,P0,HIGH_CONFIDENCE_MATCH,overture,overture:b60877ae-a80e-42fc-b72b-83bb085c132b,Tiệm bánh kem Yellow Cake Đà Nẵng,google_maps_570,Tiệm bánh kem Yellow Cake Đà Nẵng,40.23,"586 Đường Tôn Đức Thắng, Quận Liên Chiểu, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:b7b54f66-0735-4c38-94b7-80713b2e3c0a,P0,HIGH_CONFIDENCE_MATCH,overture,overture:b7b54f66-0735-4c38-94b7-80713b2e3c0a,Bếp Bà Ngoại - Ram cuốn cải & Hoành thánh chiên - 04 Vũ Trọng Hoàng,google_maps_1480,Bếp Bà Ngoại - Ram cuốn cải & Hoành thánh chiên - 04 Vũ Trọng Hoàng,4.38,"4 Đường Vũ Trọng Hoàng, Quận Cẩm Lệ, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:ba434713-b3df-45bd-a948-1cfcda3d0e6d,P0,HIGH_CONFIDENCE_MATCH,overture,overture:ba434713-b3df-45bd-a948-1cfcda3d0e6d,Ăn Vặt Tờ Rinh,google_maps_2834,Ăn Vặt Tờ Rinh,4.54,"84 Đường Trương Định, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:bb2ada33-d1ce-4b0f-ac3e-9b4359343573,P1,PROBABLE_MATCH,overture,overture:bb2ada33-d1ce-4b0f-ac3e-9b4359343573,Hủ tiếu Miền Trung,google_maps_347,Hủ tiếu Miền Trung 399 âu cơ,3.27,"399 Đường Âu Cơ, Quận Liên Chiểu, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:bb43edb0-e581-4b0f-8bb2-16a39c739ab2,P0,HIGH_CONFIDENCE_MATCH,overture,overture:bb43edb0-e581-4b0f-8bb2-16a39c739ab2,Đồng Tiến Bakery,google_maps_1614,Đồng Tiến Bakery,14.39,"201 Đường Phan Thanh, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:c3ad1c10-7e62-4c21-a628-b0581a19b044,P0,HIGH_CONFIDENCE_MATCH,overture,overture:c3ad1c10-7e62-4c21-a628-b0581a19b044,Út Tịch café,google_maps_2001,Út Tịch café,7.71,"73 Đường Nguyễn Thái Học, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:c412105f-738a-4aff-a438-1279129f11a3,P0,HIGH_CONFIDENCE_MATCH,overture,overture:c412105f-738a-4aff-a438-1279129f11a3,Ốc Hút Điện Phương,google_maps_1165,Ốc Hút Điện Phương,17.68,"304/1 Kiệt 304 Điện Biên Phủ, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:c5cf55fc-8a15-4b6f-b512-23075fc31dd2,P0,HIGH_CONFIDENCE_MATCH,overture,overture:c5cf55fc-8a15-4b6f-b512-23075fc31dd2,Shu Garden Coffee,google_maps_4394,Shu Garden Coffee,26.83,"43 Đường Trần Ngọc Sương, Quận Cẩm Lệ, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:c8276798-da8a-45a9-8944-331fbf29ea23,P1,PROBABLE_MATCH,overture,overture:c8276798-da8a-45a9-8944-331fbf29ea23,Cafe ViTa,google_maps_537,Cafe ViTa,113.63,"Đồng Bài 1, Quận Liên Chiểu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:c92b141f-647d-40d8-93b2-87422e89d6f5,P0,HIGH_CONFIDENCE_MATCH,overture,overture:c92b141f-647d-40d8-93b2-87422e89d6f5,Đông Phương Quán,google_maps_2477,Quán Đông Phương,3.77,"255 Đường Nguyễn Tất Thành, Quận Hải Châu, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:cc052b89-0810-4583-b89e-d2299b51f4c7,P1,PROBABLE_MATCH,overture,overture:cc052b89-0810-4583-b89e-d2299b51f4c7,The Leaf Café,google_maps_1903,THE LEAF HOUSE CAFE,6.17,"1153 Đường Nguyễn Tất Thành, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:cf309f8e-bb96-4d27-8027-74fde4163558,P1,PROBABLE_MATCH,overture,overture:cf309f8e-bb96-4d27-8027-74fde4163558,Lẩu Bò Hồng,google_maps_1154,Quán Ăn Cô Hường,64.28,"Quận Thanh Khê, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:d4c52696-33de-4cc6-a217-8a747f14d72e,P1,PROBABLE_MATCH,overture,overture:d4c52696-33de-4cc6-a217-8a747f14d72e,Bánh Tráng Kẹp Cô Lan,google_maps_2533,Bánh tráng trộn cô Đồng,18.44,"90 Đường Phan Thanh, Quận Thanh Khê, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:d74311bb-3834-4b85-85d7-320fd7a3c6c3,P1,PROBABLE_MATCH,overture,overture:d74311bb-3834-4b85-85d7-320fd7a3c6c3,Quán Nướng Bơ Vỉa Hè,google_maps_2797,Quán Nướng Bơ Vỉa Hè 1,145.19,"Đ. Doãn Khuê, Quận Ngũ Hành Sơn, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location,DEFER,,
MATCH:overture:overture:d9189ea6-45e7-4b9d-952f-aa41f26f4a5c,P1,PROBABLE_MATCH,overture,overture:d9189ea6-45e7-4b9d-952f-aa41f26f4a5c,Baskin Robbins Nguyễn Văn Linh - Đà Nẵng,google_maps_1671,GoGi House Nguyễn Văn Linh,95.64,"33 Đường Nguyễn Văn Linh, Quận Hải Châu, VN",,false,false,false,true,MATCH,MODERATE,historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:de69da6c-3985-44ee-bc6e-05d45a2f6311,P1,PROBABLE_MATCH,overture,overture:de69da6c-3985-44ee-bc6e-05d45a2f6311,Tra Sua 52,google_maps_3719,Trà sữa 52,67.82,"52 Đường Bùi Xương Trạch, Quận Cẩm Lệ, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:e51df8bd-2040-4365-a9d0-d3f2c88dce87,P1,PROBABLE_MATCH,overture,overture:e51df8bd-2040-4365-a9d0-d3f2c88dce87,Nhà Hàng Yến Thành,google_maps_2585,Nhà hàng Yến Thành 1,12.99,"26 Đường Yết Kiêu, Quận Sơn Trà, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
MATCH:overture:overture:e8b8593a-c202-4274-8aaa-03070caf69f9,P0,HIGH_CONFIDENCE_MATCH,overture,overture:e8b8593a-c202-4274-8aaa-03070caf69f9,Hải sản quán Có,google_maps_1156,Hải Sản Quán Có,14.78,"997 Đường Nguyễn Tất Thành, Quận Thanh Khê, VN",,true,false,false,true,MATCH,STRONG,historical_lineage_exact_phone_compatible_location|historical_lineage_address_location_category,DEFER,,
